Label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30
AdriaM,-431.45166,120.822495,-18.066568,44.08284,2.614249,-2.003006,-26.287207,-0.8507793,-1.7247878,-10.873184,-1.5281743,-9.0800905,-3.5668163,-7.687554,-3.942528,-13.459379,-3.7708652,-5.0868797,-6.945852,0.12508814,-5.7085996,-1.3236508,-5.0319767,2.2852917,-3.3783472,-6.022766,-0.96890706,-5.2488947,-4.637968,-2.7097676
AdriaM,-431.6204,124.917015,-11.958048,36.743145,6.970707,-3.084882,-25.434902,4.084207,-4.6872168,-8.941803,-0.39783463,-7.4889293,0.4152383,-8.534759,-3.0948262,-11.762188,-2.6778634,-4.853053,-9.125983,-0.7157512,-7.0439467,-2.2208126,-3.954621,2.7452717,-2.1418288,-5.887004,-0.20833968,-3.666247,-5.5283113,-5.557676
AdriaM,-426.37012,123.56544,-7.988025,35.778065,8.531072,-6.1298475,-30.62512,4.5125394,-3.8120942,-12.074109,-0.940143,-10.959969,-3.5039694,-8.400769,-4.8631296,-12.0872755,-4.362916,-5.788104,-7.631683,-0.77428037,-5.9763002,-0.8857567,-3.6164725,2.456962,-2.5318666,-5.702466,-1.1673657,-3.3344922,-2.861514,-4.0976577
AdriaM,-434.1027,135.46925,-14.0299835,36.082767,10.895197,-2.7699237,-31.228151,5.0564075,-2.202289,-14.098616,-2.2112741,-11.9012165,-3.25957,-8.097749,-7.5833488,-13.195039,-3.157604,-5.951026,-7.3511434,-0.36069587,-6.093877,-0.8083839,-4.8906374,2.1398993,-1.6235328,-7.0752068,-1.6865782,-4.3083677,-6.580155,-4.2313166
AdriaM,-433.4585,130.57341,-10.034891,38.529377,9.934582,-9.262294,-25.005194,6.413297,-4.737229,-10.580123,-1.0884626,-11.708569,-2.2704456,-5.0812106,-4.47352,-11.38446,-2.2119277,-5.8157086,-7.5999894,-0.08545238,-7.008097,0.019081065,-2.351734,0.99880433,-2.8049572,-5.576547,-1.1463832,-4.797448,-3.004708,-3.6953576
AleM,-468.97656,105.07671,-17.24438,38.38232,-19.852793,-7.0126734,-24.909039,-14.6144,-0.42546648,-7.3018107,-7.4173646,-11.136904,-2.7909057,-5.562017,-1.4178272,-12.549126,-2.432944,-2.4453945,-13.24925,-3.1122792,-5.2602057,-6.6076293,-6.236113,-2.8707998,-7.80128,-1.9213257,-1.28004,-3.710154,2.9410112,-1.6030813
AleM,-465.85974,105.184845,-8.567262,34.06554,-9.2848015,-19.62292,-23.254883,-14.098477,-8.416479,-4.2502103,-2.8932946,-14.097701,-4.1387706,-4.84089,-6.310884,-10.077542,-3.3817317,-1.967256,-12.026319,-2.4673815,-3.6430883,-9.47454,-4.9044213,-4.3703227,-6.0372734,-2.2747893,-2.1725225,-0.5575658,2.4918065,2.1754084
AleM,-455.0882,101.50889,-14.02987,35.937206,-6.272435,-9.429246,-26.570988,-17.353453,-0.16901778,-7.9316845,-8.778219,-8.09918,-3.759229,-6.312061,-6.055696,-10.721588,-1.2866597,-3.987228,-9.75512,-2.7656496,-6.403756,-6.239845,-4.3836083,-3.3133135,-6.4965873,-2.2052062,-2.9624457,-3.8047743,2.7261105,2.1662538
AleM,-428.44485,119.696526,-18.18543,46.351746,-11.674994,-21.11188,-26.158918,-15.018608,-9.20876,-4.180966,-6.419532,-16.34293,-2.189619,-8.397244,-7.461444,-11.742246,-1.8648332,-2.202321,-12.871579,-2.6155214,-5.5513635,-8.202861,-4.94261,-2.8928776,-8.414702,-2.6313581,-1.5186344,-4.6737776,1.6078207,0.39340276
AleM,-488.57266,110.89223,-7.963151,43.243454,-9.92586,-13.329902,-20.525988,-10.338399,-1.5345311,-3.840007,-5.325809,-7.4540277,-0.0064837853,-9.168221,-5.7280173,-9.53127,-2.075472,-3.504671,-12.922046,-1.1403034,-5.230946,-9.70034,-4.304836,-4.3952484,-7.855548,-1.3022755,-3.6659915,-3.9014013,2.356374,1.6706878
